t,x,tf,ts
0.6240625,0.895,1.0000651,1.0000303
0.7835125,0.778,0.9999027,0.9993684
0.39810625,0.469,1.0000757,0.999416
0.41590625,0.948,1.0000691,1.0000565
0.94975,0.457,2.1306539,2.5963678
0.4155844,0.479,1.0000619,0.9992825
0.7788031,0.993,1.000062,1.0000637
0.2395625,0.723,1.0000404,1.0001684
0.34712186,0.067,1.6807349,3.0302668
0.27600312,0.428,1.0000464,1.0001582
0.7563844,0.833,1.0000498,0.9996469
0.8521375,0.145,3.0327826,3.4957166
0.010440625,0.428,0.99996245,1.0001445
0.76192814,0.558,1.2008165,1.4704359
0.78310627,0.866,1.0000583,0.99973655
0.7272969,0.916,1.0000641,1.0000013
0.33194062,0.864,1.0000623,1.0000854
0.09474687,0.245,0.9999639,1.0001183
0.7635375,0.671,1.0004106,0.9976268
0.30922812,0.423,1.0000776,1.0000153
0.5528125,0.908,1.0000665,1.0000417
0.3321875,0.062,1.6187643,3.033616
0.33334374,0.416,1.0000945,0.999787
0.1943375,0.477,0.9999893,1.000238
0.62570935,0.292,1.7988763,2.3733864
0.5650906,0.054,2.6184058,3.5808759
0.47165,0.67,1.0000706,0.9999443
0.10005,0.987,1.0000359,1.0002161
0.19085938,0.363,0.9999757,1.0002294
0.62282187,0.675,0.9999933,0.99917233
0.74158126,0.764,0.9999486,0.9992677
0.6104031,0.299,1.7084252,2.2708678
0.8722344,0.355,2.319005,2.811625
0.17785938,0.646,1.0000123,1.0002289
0.9010625,0.996,1.0000821,0.99999964
0.8485906,0.264,2.6172543,3.1052122
0.7830125,0.141,2.9048862,3.427865
0.13966562,0.86,1.0000324,1.0002134
0.73228127,0.03,3.0666647,3.8306856
0.21408124,0.047,1.0004284,0.9991131
0.7942156,0.774,0.99988306,0.9994223
0.8735875,0.274,2.6412597,3.1167645
0.7812156,0.942,1.000065,0.9999974
0.46109375,0.032,2.3163657,3.6624408
0.6484906,0.061,2.8284783,3.6167345
0.46017814,0.748,1.0000627,1.0000302
0.21534374,0.882,1.0000514,1.0001547
0.117725,0.059,1.0000085,0.9998833
0.7674406,0.54,1.2716702,1.591759
0.5031094,0.972,1.0000708,1.0000474
0.0718875,0.071,1.0000129,0.9998884
0.8274438,0.259,2.5827222,3.082683
0.6725063,0.651,0.999779,0.9988245
0.26907814,0.388,1.0000528,1.0001534
0.62630624,0.695,1.0000256,0.9993361
0.90775,0.211,2.9380102,3.370257
0.80255,0.133,2.9707618,3.478643
0.41985938,0.209,1.3497151,1.9091915
0.3369875,0.829,1.0000603,1.0000868
0.864825,0.089,3.1957874,3.6744204
0.27018124,0.127,1.009899,1.0620381
0.26585,0.749,1.0000474,1.0001429
0.6926594,0.472,1.2774637,1.6179755
0.62850624,0.189,2.2977128,2.9455094
0.9445375,0.321,2.6378465,3.0881033
0.9517625,0.514,1.9148344,2.3672976
0.2793531,0.098,1.1118374,1.6613716
0.6064219,0.665,1.0000069,0.99920666
0.1833875,0.819,1.000039,1.0001901
0.28625312,0.792,1.0000536,1.0001204
0.53220624,0.092,2.389833,3.2856388
0.4147781,0.986,1.0000712,1.0000588
0.5724844,0.104,2.4787712,3.2823558
0.34860626,0.09,1.5858389,2.7349062
0.21351562,0.699,1.0000321,1.0001944
0.62045,0.652,0.99993384,0.99897313
0.699875,0.374,1.691429,2.199019
0.5399125,0.424,1.0143403,1.0356256
0.20965625,0.758,1.0000383,1.0001837
0.6489844,0.085,2.7647958,3.4938555
0.29826564,0.122,1.1427733,1.6593652
0.26657814,0.159,1.0004029,0.99658024
0.5831031,0.702,1.0000683,0.9996722
0.07404062,0.642,0.9999738,1.0002412
0.18878438,0.971,1.000053,1.000161
0.8777281,0.825,0.9999528,0.99960005
0.5386875,0.23,1.763732,2.4091277
0.2852,0.16,1.0058743,1.0247916
0.68785936,0.478,1.2424153,1.5587744
0.34965,0.105,1.5189514,2.546627
0.5357937,0.045,2.5496387,3.6169353
0.8522125,0.331,2.3604555,2.8597908
0.8176719,0.423,1.8726302,2.3642387
0.5878375,0.657,1.0000268,0.99928534
0.5487,0.58,0.999936,0.998829
0.168375,0.047,0.99998975,0.9998239
0.33147812,0.212,1.0127093,1.0393708
0.16375,0.938,1.0000461,1.0001832
0.8211719,0.723,1.0011337,1.0005007
0.10628437,0.655,0.9999869,1.0002463
0.14460938,0.133,0.99998116,1.0000476
0.821625,0.657,1.0885302,1.2302452
0.28113437,0.411,1.000057,1.0001304
0.08136562,0.208,0.99997175,1.0000788
0.54214686,0.467,0.9999651,0.99348915
0.30480936,0.205,1.000881,0.9969429
0.7044875,0.53,1.1299223,1.3356748
0.34082812,0.248,1.0007778,0.9942012
0.8626469,0.148,3.0438714,3.4981132
0.4214125,0.474,1.000045,0.9991362
0.27840313,0.886,1.0000595,1.0001123
0.15299375,0.376,0.99995923,1.0002166
0.8629063,0.705,1.07055,1.1828586
0.8484219,0.029,3.2640939,3.8732276
0.11491875,0.073,1.0000052,0.9999163
0.9455031,0.698,1.2695502,1.5563042
0.4366625,0.233,1.3113657,1.8074671
0.19215937,0.633,1.0000149,1.0002233
0.474425,0.676,1.0000699,0.9999485
0.5342031,0.229,1.7504019,2.3966656
0.07443125,0.144,0.99998784,1.0000105
0.90980315,0.739,1.0915897,1.2313118
0.533,0.634,1.000065,0.9995308
0.9357,0.594,1.5726514,1.9734603
0.48566562,0.824,1.0000641,1.0000387
0.0733125,0.727,0.9999881,1.00025
